,first_article,last_article,path_count
0,Asteroid,Viking,1043
1,Brain,Telephone,1040
2,Theatre,Zebra,905
3,Pyramid,Bean,642
4,Batman,Wood,148
5,Bird,Great_white_shark,138
6,Batman,The_Holocaust,119
7,Bird,Adolf_Hitler,107
8,Beer,Sun,99
9,Batman,Banana,69
10,Cat,Computer,57
11,Cat,Microsoft,56
12,Dog,Telephone,53
13,Flower,Adolf_Hitler,51
14,Automobile,Pluto,47
15,Dog,Venus,47
16,Batman,Bible,43
17,Aluminium_chloride,Parrot,42
18,England,God,42
19,Achilles_tendon,Ocean,40
20,Calculus,Paul_McCartney,39
21,Aircraft,Google,35
22,Electricity,God,34
23,Brazil,Hydrogen,32
24,Art,Mango,32
25,Africa,England,30
26,Archbishop_of_Canterbury,Vietnam,30
27,Computer,Fruit,29
28,Computer,Russia,29
29,Cat,Adolf_Hitler,27
30,14th_century,Rainbow,27
31,Jesus,God,27
32,Manchester,Water,26
33,China,Moon,25
34,Batman,Penguin,24
35,Jesus,Adolf_Hitler,24
36,Antlion,Hip_hop_music,24
37,Batman,Japan,24
38,Batman,Vitamin_D,24
39,Brothers_Grimm,Windows_Vista,23
40,Batman,Albert_Einstein,23
41,Achilles_tendon,Ivory,23
42,Computer_programming,Fresh_water,21
43,Calculus,Lemon,21
44,California,Adolf_Hitler,21
45,Apple,Banana,20
46,Cat,Dog,20
47,Automobile,Windows_XP,20
48,Apple,Fruit,19
49,Moon,Mars,19
50,Linux,Adolf_Hitler,19
51,China,Afghanistan,19
52,God,Adolf_Hitler,19
53,Bird_migration,Hubble_Space_Telescope,18
54,Jew,Telephone,18
55,Video,China,18
56,Famine,Arctic,18
57,Bamako,Sun,18
58,George_W._Bush,Monkey,17
59,Pikachu,Sun,17
60,Human,Pluto,17
61,AIDS,Jesus,17
62,Smog,Toy_Story,17
63,15th_century,Windows_Vista,16
64,Earth,Odysseus,16
65,United_States,English_language,15
66,Chemistry,Fidel_Castro,15
67,Pikachu,Jesus,15
68,Bird,Thomas_Jefferson,15
69,Adolf_Hitler,Jesus,15
70,Batman,Peanut,15
71,Dinosaur,China,15
72,Mario,Nintendo,15
73,John_Dee,China,15
74,Reptile,Jesus,15
75,Computer,Whale,14
76,Cat,University,14
77,The_Godfather,Neptune,14
78,Nintendo,Snow,14
79,England,Train,14
80,Africa,Differential_equation,14
81,Citrus,Physics,14
82,Volcano,Alphabet,14
83,North_America,Canada,14
84,Dinosaur,George_W._Bush,14
85,Computer,Baseball,13
86,Electricity,Anne_Frank,13
87,Bangladesh,Harry_S._Truman,13
88,Linguistics,Rome,12
89,Fourteenth_Amendment_to_the_United_States_Constitution,Reptile,12
90,Beer,Warsaw,12
91,Achilles,Winston_Churchill,12
92,AT%26T,Vegetable,12
93,Aircraft,Yugoslavia,12
94,Arnold_Schwarzenegger,Vegetable,12
95,Colombia,Meat,12
96,Dog,Sea,12
97,History,Nazi_Germany,12
98,England,Japan,12
99,Harry_Potter,Kangaroo,12
100,Batman,Jesus,12
101,Jesus,Google,12
102,Metal,Prague,12
103,Google,God,12
104,Continent,Gorilla,11
105,Batman,Bill_Clinton,11
106,Aircraft,Solar_eclipse,11
107,Meteorological_history_of_Hurricane_Katrina,Iraq_War,11
108,David_Beckham,Great_white_shark,11
109,Brazil,Vitamin,11
110,Citrus,Desert,11
111,Scent_of_a_Woman,Firearm,11
112,Flower,George_H._W._Bush,11
113,Mormon,Ice,11
114,Weed,Jesus,11
115,Mario,God,11
116,Ocean,Love,11
117,Batman,Coconut_crab,11
118,Batman,Superman,11
119,Chocolate,Velociraptor,11
120,Agriculture,Sparrow,11
121,Seed,New_York_City,11
122,Solar_System,Babe_Ruth,11
123,Acceleration,Mozilla_Firefox,11
124,Dog,Elementary_algebra,11
125,Forth,Anne_Frank,11
126,Australian_Open,George_W._Bush,10
127,Colombia,6th_century,10
128,Gregorian_chant,Inductance,10
129,Germany,Adolf_Hitler,10
130,Booby,Ununhexium,10
131,Mathematics,Juice,10
132,American_Civil_War,Kuwait_City,10
133,Weasel,Barium,10
134,Anaconda,Agnosticism,10
135,Pluto,Wall_Street,10
136,Tennis,Nuclear_weapon,10
137,Necktie,Lion,10
138,Archbishop_of_Canterbury,Neil_Armstrong,10
139,Alpaca,Nuclear_fission,10
140,God,Aztec,10
141,Brain,DVD,10
142,James_Bond,Human_rights,10
143,Earless_seal,Citrus,10
144,California,Middle_East,10
145,Hydrogen,Gold,10
146,Wasp,United_Arab_Emirates,10
147,Canada,Pony,10
148,Chemistry,George_H._W._Bush,10
149,Sonic_the_Hedgehog_%28character%29,Cancer,10
150,Global_warming,Wood,10
151,Dodo,Film,10
152,Pyramid,Adolf_Hitler,10
153,Jesus,Microsoft,10
154,Planet,Nuclear_power,10
155,Dog,Beer,10
156,Khudai_Khidmatgar,Whale,10
157,Age_of_Enlightenment,Kazakhstan,10
158,Shark,FIFA,10
159,Judaism,Flute,10
160,ASCII,Swastika,9
161,Potassium_nitrate,Ivory,9
162,Dolphin,AIDS,9
163,Judaism,Mozilla_Firefox,9
164,Celery,History_of_the_Internet,9
165,Arithmetic,Moon,9
166,Ant,Hurricane_Katrina,9
167,Stuttering,Water,9
168,Dinosaur,Central_processing_unit,9
169,Hydrogen,Parrot,9
170,Art,Double_bass,9
171,Space_Shuttle_Columbia,Lemon,9
172,Uranus,FIFA,9
173,Geology_of_the_Grand_Canyon_area,Vegetable,9
174,Magma,Tiger_shark,9
175,Film,Ku_Klux_Klan,9
176,Shark,United_States_Bill_of_Rights,9
177,Tour_de_France,Apatosaurus,9
178,Cat,Pollution,9
179,Penguin,Jesus,9
180,6th_century,Emotion,9
181,Pikachu,Flood,9
182,Electron,Bill_Clinton,9
183,Sesame,Parthenon,9
184,Apaochi,Dolphin,9
185,Calcium_chloride,Vietnam,9
186,Oxford,Bean,9
187,Metric_expansion_of_space,Guitar,9
188,Great_Britain,Leonardo_da_Vinci,9
189,Euro,Whale,9
190,Euro,Microsoft,9
191,Brothers_Grimm,Electricity,9
192,Kylie_Minogue,Sun,9
193,Tyrannosaurus,Guitar,9
194,Alternative_rock,Dinosaur,9
195,Osama_bin_Laden,Elementary_algebra,9
196,Fundamental_theorem_of_arithmetic,Maldives,9
197,Neptune,Human_rights,9
198,Science,Super_Mario_Bros.,9
199,SD26,Athens,9
200,Universe,Screw,9
201,Roald_Amundsen,Meningitis,9
202,Brazil,Indonesia,8
203,Applied_mathematics,Charlie_Chaplin,8
204,Darth_Vader,Eastern_Orthodox_Church,8
205,Chromium,Henry_I_of_England,8
206,Heat,Jew,8
207,Eye,Dance,8
208,Helen_Gandy,Water,8
209,Aristotle,James_Monroe,8
210,Geometry,Thailand,8
211,Telephone,Pyramid,8
212,Nazi_Germany,Rice,8
213,Glass,Shark,8
214,Bolivia,Universe,8
215,Phishing,New_moon,8
216,Palm_oil,Police_state,8
217,Rwanda,Carbon_dioxide,8
218,Organization,Jurassic,8
219,Butter,Star_Trek,8
220,Gas,Black_hole,8
221,Australian_Green_Tree_Frog,Pyramid,8
222,Super_Mario_Bros.,Jesus,8
223,NATO,Acceleration,8
224,Cereal,Kurt_Cobain,8
225,Supreme_Court_of_the_United_States,Sodium,8
226,Comet,Speed_of_light,8
227,Laurence_Olivier,Hydrogen,8
228,The_Rolling_Stones,Leonardo_da_Vinci,8
229,Auto_racing,Confucius,8
230,Cat,Moon,8
231,Computer_programming,The_Beatles,8
232,Christianity,Jesus,8
233,20th_century,Parrot,8
234,World_War_I,World_War_II,8
235,Jaws_%28film%29,Apple,8
236,Nazism,Ice,8
237,Prime_Minister_of_the_United_Kingdom,Pac-Man,8
238,Fyodor_Dostoevsky,George_W._Bush,8
239,Oviraptor,Bill_Gates,8
240,Internet,Pea,8
241,Wikipedia,Magnesium,8
242,Galaxy,Cairo,8
243,Horn_of_Africa,Dubai,8
244,Weed,God,8
245,Atom,Iraq,8
246,Arnold_Schwarzenegger,Rhodium,8
247,Uganda,Oregon,8
248,Linguistics,Climate_change,8
249,Cheese,Adolf_Hitler,8
250,Weed,AIDS,8
251,Feather,Pythagorean_theorem,8
252,Woodpecker,Nazi_Germany,8
253,Australia,Canberra,8
254,Coffee,Bear,8
255,Banana,Jesus,8
256,Pterosaur,Genghis_Khan,8
257,Anne_Frank,Ireland,8
258,Terrorism,Super_Mario_Bros.,8
259,Aardvark,Bluetooth,8
260,Energy,Hey_Jude,8
261,Pac-Man,Hawk,8
262,Tasmanian_Devil,Russia,8
263,Windows_XP,Novel,8
264,England,London,8
265,Postage_stamp,Mammal,8
266,Love,World_War_II,8
267,Isaac_Newton,Latin_America,8
268,AIDS,Tour_de_France,8
269,John_Maynard_Keynes,Canada,8
270,Taoism,Dinosaur,8
271,Magma,Bible,8
272,Flower,Italy,8
273,Microraptor,Jamaica,7
274,Panama,Carnivore,7
275,The_Cat_in_the_Hat,Doctor_Who,7
276,Tree,Vladimir_Lenin,7
277,Amazon_parrot,England,7
278,Capitalism,Biology,7
279,Woodrow_Wilson,Roman_Empire,7
280,Mustard_seed,Albert_Einstein,7
281,China,Jordan,7
282,Carbon_dioxide,Jew,7
283,Mickey_Mantle,Biology,7
284,Crystal,Charlie_Chaplin,7
285,Christianity,English_language,7
286,Pea,Penguin,7
287,Kosovo,Fungus,7
288,Board_game,Greenland,7
289,Dance,Hydrogen,7
290,Overseas_Railroad,Great_white_shark,7
291,Dallas%2C_Texas,Athens,7
292,Star_Wars,Great_Lakes,7
293,Robert_Owen,Swastika,7
294,Zeus,Michael_Jordan,7
295,Francis_Bacon,Bean,7
296,Zeus,Amazon_Rainforest,7
297,OpenOffice.org,Music,7
298,North_Africa,Bread,7
299,Linux,Space_Race,7
300,Greek_War_of_Independence,Dominican_Republic,7
301,List_of_rivers_by_length,1896_Summer_Olympics,7
302,Angel_shark,Beer,7
303,Meteor_shower,Almond,7
304,Edgar_Allan_Poe,Zebra,7
305,Chives,Bird_of_prey,7
306,Republic_of_China,Arctic_Ocean,7
307,Richard_II_of_England,Windows_2000,7
308,Barbados,Virus,7
309,Thailand,Cyclops,7
310,Africa,Sleep,7
311,Cat,Desert,7
312,Theodore_Roosevelt,Genghis_Khan,7
313,Internet,George_V_of_the_United_Kingdom,7
314,Cat,Finland,7
315,Potassium_iodide,Insect,7
316,Honduras,Tripoli,7
317,House,Athena,7
318,Hubbard_Glacier,Adolf_Hitler,7
319,Jazz,Auckland,7
320,Leeds,Hydrogen,7
321,Internet,Banana,7
322,Portugal,Apatosaurus,7
323,Working_poor,Sudan,7
324,Literacy,Hydrogen,7
325,Michael_Jordan,Odysseus,7
326,Socialism,Sonic_the_Hedgehog_%28character%29,7
327,Organism,Fire,7
328,Turtle,Music,7
329,Music_of_the_United_States,Magna_Carta,7
330,Final_Fantasy_%28video_game%29,Lord_Voldemort,7
331,Velociraptor,Vampire,7
332,The_Lion%2C_the_Witch_and_the_Wardrobe,Latin_America,7
333,Italian_Renaissance,Forest,7
334,Erie_Canal,Water,7
335,Chelsea_F.C.,Yugoslavia,7
336,Stone_Age,Plutonium,7
337,Apple,Hydrogen,7
338,Nintendo,Mario,7
339,Monty_Python,Osama_bin_Laden,7
340,Flemish_%28linguistics%29,Velociraptor,7
341,United_Arab_Emirates,Sea,7
342,Whale,Nile,7
343,Aquarium,Smog,7
344,Qin_Shi_Huang,Perl,7
345,Great_Wall_of_China,Rome,7
346,Photography,Apple,7
